CustomerID,FirstName,LastName,Address,ContactNo,EmailID,BranchID,BranchLocation,BranchCode,BranchAddress,BranchContactNo,AccountID,AccountType,Balance,TransactionID,TransactionType,TransactionAmount,TransactionDate,LoanID,LoanAmount,LoanType,InterestRate,Term,Status
1,Melanie,Franco,2315 Elizabeth Crescent Apt. 816,+91 7760229457,marie24,101,Autumnborough,AX00001,79148 Rubio Trace,+91 7825606506,201,Savings,24965.37,1,Transfer,9836.17,11-06-2022 17:22,301,85046.33,Education Loan,9.10%,20 yrs,Pending
2,Jorge,Washington,23649 Laura Fort Suite 129,+91 6339540615,jason50@example.net,102,Cochranstad,AX00002,8648 Zachary Oval,+91 7950475675,202,Savings,7693.5,2,Transfer,788.11,25-09-2022 20:09,302,31503.07,Education Loan,4.70%,21 yrs,Pending
3,Dylan,Gentry,05056 Sara Ways Suite 649,+91 6479916522,elizabethcollins@example.net,103,West Debbie,AX00003,9056 Tristan Squares,+91 8724478909,203,Savings,43912.66,3,Withdrawal,4280.9,09-05-2023 21:57,303,86748.18,Education Loan,2.70%,18 yrs,Rejected
4,Christine,Rodriguez,7871 Blake Manor,+91 9074226981,johnsmith@example.net,104,New Kyle,AX00004,4994 Ashley Island,+91 9184052638,204,Savings,78656.37,4,Deposit,3539.41,05-12-2021 04:24,304,50296.72,Education Loan,8.50%,19 yrs,Approved
5,Allison,Vaughan,17165 White Fort,+91 8984408501,timothywebster@example.com,105,Michelleport,AX00005,743 Johnson Stravenue Suite 641,+91 7666520829,205,Checking,1211.03,5,Withdrawal,5654.48,29-04-2020 02:44,305,93035.96,Personal Loan,6.90%,16 yrs,Approved
6,David,Powell,057 Edwards Mall Apt. 574,+91 7287220092,joseph48@example.org,106,Mercadoport,AX00006,11301 Foster Stream,+91 9481682896,206,Checking,1668.59,6,Deposit,355.05,01-04-2023 20:46,306,39241.43,Home Loan,5.20%,1 yrs,Pending
7,Anthony,Mcfarland,7156 Martin Village Apt. 613,+91 6721043987,carlamanning@example.net,107,Port Russellmouth,AX00007,4815 Pamela Club,+91 9458688960,207,Savings,31430.07,7,Withdrawal,3333.93,12-07-2020 15:13,307,93685.95,Home Loan,5.60%,29 yrs,Pending
8,Mark,Davis,6066 Ramirez Manors Suite 406,+91 9694317631,rick21@example.com,108,Port Bryan,AX00008,159 Margaret Forge Apt. 099,+91 6421637960,208,Credit,96660.12,8,Transfer,9815.86,22-08-2022 18:56,308,78719.55,Home Loan,6.40%,2 yrs,Pending
9,George,Knox,2748 Ross Meadows Suite 856,+91 9806214080,sdavidson@example.net,109,Jacobburgh,AX00009,341 Armstrong Way Suite 372,+91 7844486436,209,Savings,37945.56,9,Transfer,7208.66,13-01-2023 12:48,309,61408.99,Home Loan,7.90%,5 yrs,Rejected
10,Rebecca,Hawkins,57362 Christina Squares,+91 7218749678,fullerjames@example.com,110,Stevenview,AX00010,4918 Carrillo Street,+91 8475407644,210,Savings,66903.14,10,Transfer,5963.3,19-11-2022 21:29,310,55313.83,Education Loan,3.80%,25 yrs,Rejected
11,Cathy,Cunningham,10357 Bradley Valleys Apt. 138,+91 9695396760,itorres@example.net,111,Gregoryfurt,AX00011,084 Anderson Extensions,+91 7938666380,211,Checking,13397.71,11,Deposit,2067.25,20-03-2023 17:45,311,75738.22,Personal Loan,2.40%,7 yrs,Pending
12,Mariah,Moore,61245 Douglas Knoll,+91 7941209405,hwhite@example.org,112,Frytown,AX00012,499 Christine Throughway,+91 6162151462,212,Savings,3840.58,12,Withdrawal,4698.02,15-11-2022 21:50,312,30069.47,Personal Loan,4.10%,26 yrs,Rejected
13,Eric,Burton,51974 Sara Plaza,+91 6228470643,richard16@example.net,113,Jennifertown,AX00013,613 Jenna Pike,+91 8519201783,213,Checking,66191.43,13,Deposit,3686.98,12-06-2020 03:17,313,81945.54,Personal Loan,2.20%,8 yrs,Rejected
14,Nicholas,Rodriguez,08944 Mark Rapids Apt. 981,+91 8102080539,cody19@example.org,114,New Crystal,AX00014,29347 Small Throughway,+91 8384350434,214,Checking,72870.61,14,Deposit,1186.31,13-06-2022 07:33,314,74471.71,Education Loan,6.70%,19 yrs,Pending
15,Susan,Martinez,0725 Edgar Court Apt. 724,+91 8333170433,james62@example.org,115,Lake Frankside,AX00015,167 Stone Falls Apt. 475,+91 9256295099,215,Credit,44393.21,15,Deposit,3067.07,21-10-2022 10:58,315,56833.71,Education Loan,5.50%,18 yrs,Rejected
16,Matthew,Chan,51586 Brooks Shores Suite 086,+91 6478742704,erica10@example.com,116,Stephaniestad,AX00016,7281 Jacqueline Crossing Suite 889,+91 7743081015,216,Checking,12357.99,16,Deposit,1235.68,22-06-2022 15:11,316,54973.1,Home Loan,4.80%,1 yrs,Rejected
17,Keith,Mathis,19110 Stephanie Loaf Apt. 992,+91 6590403919,marie18@example.net,117,Raymondside,AX00017,734 Jimmy Ford,+91 7895731976,217,Checking,64557.58,17,Deposit,9442.92,11-10-2020 23:11,317,73338.94,Education Loan,9.40%,20 yrs,Approved
18,Kristen,Weber,48411 Goodwin Ranch Apt. 575,+91 6107757531,timothy63@example.net,118,Colonview,AX00018,7262 Charles Knoll,+91 9274868867,218,Checking,96345.66,18,Withdrawal,5198.57,17-02-2022 07:22,318,57404.26,Home Loan,4.90%,27 yrs,Approved
19,Anthony,Espinoza,125 Kelly Extensions,+91 6687840139,patricia30@example.net,119,Johnmouth,AX00019,5155 Jill Curve Apt. 967,+91 8817147835,219,Credit,48058.05,19,Withdrawal,8362.42,12-10-2020 17:13,319,77542.02,Home Loan,3.70%,28 yrs,Approved
20,Tammy,Christian,51057 Thomas Plain,+91 7130393847,jamieclark@example.org,120,Timothyland,AX00020,3802 Arthur Falls Apt. 419,+91 6483575158,220,Credit,13673.64,20,Transfer,9787.75,19-10-2021 12:13,320,97425.88,Personal Loan,2.40%,9 yrs,Approved
